nom,adresse,telephone,email,representant,site,source,doublon_de,raison
SOUPAPES ET PISTONS,64240 Hasparren,06 45 09 21 60,soupapesetpistons@outlook.fr,,http://www.soupapesetpistons.fr,retrocalage,SOUPAPES ET PISTONS,tel: 0645092160
VESPA CLUB DE FÉCAMP,76790 Les,02 35 29 47 51,polo19576@gmail.com,,https://www.facebook.com/VespaClubdeFecamp,retrocalage,VESPA CLUB DE FÉCAMP,email: polo19576@gmail.com
LA DEUCHE AUBOISE,10150 Pont-Sainte-Marie,03 25 41 95 11,bonnin.richard@wanadoo.fr,,http://ladeucheauboise.fr,retrocalage,LA DEUCHE AUBOISE,email: bonnin.richard@wanadoo.fr
LES TACOTS MONTLUCONNAIS,03100 Montlucon,04 70 08 03 97,contact@tacots-montluconnais.fr,,,retrocalage,TACOTS MONTLUÇONNAIS,email: contact@tacots-montluconnais.fr
RETROMOBILE DU GOLF DE FOS,13270 Fos-sur-Mer,06 82 03 13 17,retrofos13@gmail.com,,http://www.retrofos.fr,retrocalage,RÉTROMOBILE DU GOLFE DE FOS,email: retrofos13@gmail.com
LA DEUCHE A LA CÔTE,62180 Rang-du-Fliers,06 27 43 30 41,jpcouvreur@orange.fr,,https://www.facebook.com/La-Deuche-à-la-côte-429810107094075/,retrocalage,LA DEUCHE À LA CÔTE,tel: 0627433041
CROMZANFOLIE AMERICAN CAR CLUB VICHY,03200 Vichy,,cromzanfolie@gmail.com,,,retrocalage,ASSOCIATION CROMZAN'FOLIE,email: cromzanfolie@gmail.com
CLUB ALFA ROMEO COEUR DE TRÈFLE,67440 Schwenheim,07 68 11 03 30,contact@carct.club,,http://www.carct.club,retrocalage,CLUB ALFA ROMEO CŒUR DE TRÈFLE - CARCT,email: contact@carct.club
AUTO RÉTRO DROMOISE,26800 Montoison,06 09 27 55 55,autoretrodromoise@gmail.com,,http://autoretrodromoise.wix.com/autoretrodromoise,retrocalage,AUTO RÉTRO DROMOISE,email: autoretrodromoise@gmail.com
VIEUX VOLANTS DES VOIRONS,74140 Saint-Cergues,04 50 43 52 93,gerardbarassi@live.fr,,,retrocalage,VIEUX VOLANTS DES VOIRONS - 3V,email: gerardbarassi@live.fr
COLLECTIONNEURS LYONNAIS DE VÉHICULES ANCIENS,69250 Curis-au-Mont-d,04 78 91 46 96,clubclva@gmail.com,,http://clva69.fr,retrocalage,COLLECTIONNEURS LYONNAIS DE VÉHICULES ANCIENS - CLVA,email: clubclva@gmail.com
2 CV CLUB DAUPHINOIS,38560 Jarrie,06 51 93 65 74,2cvclub.dauphinois@gmail.com,,http://2cvclubdauphinois.fr,retrocalage,2 CV CLUB DAUPHINOIS,email: 2cvclub.dauphinois@gmail.com
LES BRIGADES DE L'AA,62380 Ouve-Wirquin,06 51 09 41 35,lesbrigadesdelaa@orange.fr,,https://www.facebook.com/brigades.delaa,retrocalage,LES BRIGADES DE L'AA,email: lesbrigadesdelaa@orange.fr
AUTOPASSION41,41350 Saint-Claude-de-Diray,,info@autopassion41.fr,,http://www.autopassion41.fr,retrocalage,AUTOPASSION 41,email: info@autopassion41.fr
AS VINTAGE 42,42000 Saint-Étienne,04 77 37 06 99,asvintage42@yahoo.fr,,,retrocalage,AS VINTAGE 42,tel: 0477370699
CHRONO SPORT BUGEY,01500 Ambérieu-en-Bugey,06 58 41 03 12,philippe.raymond69680@gmail.com,,,retrocalage,CHRONO SPORT BUGEY,email: philippe.raymond69680@gmail.com
AMICALE DES VÉHICULES ANCIENS DE MARSILLARGUES,34590 Marsillargues,06 03 18 17 08,avammarsillargues@gmail.com,,https://www.avam.info,retrocalage,AMICALE DE VÉHICULES ANCIENS DE MARSILLARGUES - AVAM,email: avammarsillargues@gmail.com
DRIVERS CÔTE D'OPALE,62200 Boulogne-sur-mer,06 28 52 36 00,decomblesteeven@gmail.com,,http://driversopale.com,retrocalage,DRIVERS CÔTE D'OPALE,email: decomblesteeven@gmail.com
PHENIX LIBERTA,14240 Cormolain,06 21 72 68 86,sophiejeanpierre@club-internet.fr,,,retrocalage,PHENIX LIBERTA,email: sophiejeanpierre@club-internet.fr
ASSOCIATION DES GENTLEMEN'S DRIVERS DE LA ROQUE D'ANTHÉRON,13640 La,06 35 29 14 79,president.gdra@gmail.com,,http://assogdra.xooit.org,retrocalage,ASSOCIATION DES GENTLEMEN'S DRIVERS DE LA ROQUE-D'ANTHÉRON - GDRA,email: president.gdra@gmail.com
LA DEUCHE SÉDÉLOCIENNE,21210 Saulieu,06 79 65 79 08,paqueter@orange.fr,,,retrocalage,LA DEUCHE SÉDÉLOCIENNE,email: paqueter@orange.fr
BLEU 16 RHÔNE-ALPES,01150 Saint-Sorlin-en-Bugey,04 74 34 49 84,bleu16ra@gmail.com,,http://bleu-16.skyrock.com,retrocalage,BLEU 16,email: bleu16ra@gmail.com
AMICALE DES BIELLES COMMINGEOISES,31800 Saint-Gaudens,06 83 24 64 92,abc.automoto31@gmail.com,,http://www.abc-saintgaudens.fr,retrocalage,AMICALE DES BIELLES COMMINGEOISES,email: abc.automoto31@gmail.com
CLUB AUTO RETRO VOSGIEN,88140 Contrexeville,06 09 05 45 99,carv@clubautoretrovosgien.com,,http://clubautoretrovosgien.com,retrocalage,CLUB AUTO RÉTRO VOSGIEN,email: carv@clubautoretrovosgien.com
AMICALE CREUSOISE DE VÉHICULES D'EPOQUE,36200 Celon,06 20 22 31 61,infos@acve23.com,,https://acve23.com,retrocalage,AMICALE CREUSOISE DE VÉHICULES D'ÉPOQUE - ACVE 23,email: infos@acve23.com
LES VIEILLES SOUPAPES DU VAL DE BRESLE,76260 Flocques,06 07 94 36 05,alain.perdieu@wanadoo.fr,,http://lesvieillessoupapes.wifeo.com,retrocalage,LES VIEILLES SOUPAPES DU VAL DE BRESLE,tel: 0607943605
AUTOTTIKI,64122 Urrugne,06 08 57 98 10,club.autottiki@orange.fr,,http://www.autottiki.fr,retrocalage,AUTOTTIKI,email: club.autottiki@orange.fr
DYNAMIC AUTO RETRO,40270 Saint-Maurice-sur-Adour,05 58 03 35 79,dynamic-auto-retro@live.fr,,,retrocalage,DYNAMIC AUTO RÉTRO,email: dynamic-auto-retro@live.fr
AMÉRICAINES CLUB MONTLUCONNAIS,03100 Montluçon,06 63 63 75 22,americainesclubmontlucon@outlook.com,,https://www.facebook.com/profile.php?id=100064776843964,retrocalage,AMÉRICAINES CLUB MONTLUÇONNAIS,email: americainesclubmontlucon@outlook.com
ASSOCIATION KICK ET MANIVELLE DAUPHINOISE,38460 Crémieu,06 01 08 37 76,contact@akmd38.com,,http://www.akmd38.com,retrocalage,ASSOCIATION KICK ET MANIVELLE DAUPHINOISE,email: contact@akmd38.com
HAGETMAU MECA PASSION,40700 Hagetmau,06 83 95 93 45,hagetmaumecapassion@gmail.com,,https://hmp40.fr,retrocalage,HAGETMAU MÉCA PASSION,email: hagetmaumecapassion@gmail.com
AUTO RETRO HALLUIN,59250 Halluin,06 61 86 72 32,secretariat.autoretrohalluin@gmail.com,,http://autoretrohalluin.com,retrocalage,AUTO RÉTRO HALLUIN,email: secretariat.autoretrohalluin@gmail.com
ALPINE-RENAULT SPORT-AUVERGNE,63510 Malintrat,06 13 49 54 12,alpine.RSA110@gmail.com,,http://alpine63.forumactif.com,retrocalage,CLUB ALPINE RENAULT SPORT-AUVERGNE,email: alpine.rsa110@gmail.com
CLUB AMICAL DES ANCIENNES AUTOMOBILES AUDOMAROISES - C4A,62219 Longuenesse,06 21 19 53 59,secretariat.club.c4a@gmail.com,,https://sites.google.com/view/clubc4a,retrocalage,CLUB AMICAL DES ANCIENNES AUTOMOBILES AUDOMAROISES - C4A,email: secretariat.club.c4a@gmail.com
AUTO MOTO RETRO CLUB DU CANTON VERT,13380 Plan-de-Cuques,06 62 54 73 16,automotoretro13@gmail.com,,http://www.amrcv.fr,retrocalage,AUTO MOTO RÉTRO CLUB DU CANTON VERT - AMRCV,email: automotoretro13@gmail.com
AMICALE 204-304,79210 Mauzé-sur-le-Mignon,,bureau@amicale-204-304.com,,https://www.amicale-204-304.com,retrocalage,AMICALE 204-304,email: bureau@amicale-204-304.com
PASSION YOUNGTIMERS 86,86530 Naintré,06 83 71 27 11,passionyoungtimers86@gmail.com,,https://www.facebook.com/passionyoungtimers86,retrocalage,A.V.E.M 86,tel: 0683712711
HYDRO CLUB,79370 Verrines-sous-Celles,06 99 36 79 02,dad.12@orange.fr,,,retrocalage,HYDRO CLUB,email: dad.12@orange.fr
CLUB DES ANCIENNES ET NOUVELLES CARROSSERIES DE ROUEN ET DES ENVIRONS,76960 Notre-Dame-de-Bondevi,06 72 61 79 20,clublecancre@gmail.com,,,retrocalage,CLUB LE CANCRE,email: clublecancre@gmail.com
DS CLUB DU LEMAN,74100 Ville-la-Grand,06 88 21 05 37,info@ds-clubduleman.fr,,http://www.ds-clubduleman.fr,retrocalage,DS CLUB DU LÉMAN,email: info@ds-clubduleman.fr
NOSTAL'DEUCHE COMTOISE,25440 Liesle,06 87 94 21 51,michelgirardot4@gmail.com,,http://nostaldeuche.asso-web.com,retrocalage,NOSTAL' DEUCHE COMTOISE,email: michelgirardot4@gmail.com
AMICALE ANDRÉ CITROËN DU SUD OUEST,65000 Tarbes,06 16 90 78 66,aacso.65@gmail.com,,http://aacso.canalblog.com,retrocalage,AMICALE ANDRÉ CITROËN DU SUD-OUEST - AACSO,tel: 0616907866
AUTO LEGEND,31240 L,05 61 70 48 39,jeseguin@orange.fr,,http://auto-legend.fr,retrocalage,CLUB AUTO LEGEND,email: jeseguin@orange.fr
CLUB BASQUE DES VÉHICULES ANCIENS,64270 Bergouey,06 19 85 60 17,eric-marcus@hotmail.fr,,http://cbva.fr,retrocalage,CLUB BASQUE DES VÉHICULES ANCIENS - CBVA,email: eric-marcus@hotmail.fr
FIAT FAN CLUB,91510 Lardy,06 88 13 73 74,fiatfanclub@yahoo.fr,,http://www.fiat-fan.club,retrocalage,FIAT FAN CLUB - FRANCE,tel: 0688137374
RÉTRO 07,07100 Annonay,06 09 71 48 89,retroardeche07@gmail.com,,,retrocalage,RÉTRO 07 ASSOCIATION,email: retroardeche07@gmail.com
CLUB MERCEDES-BENZ DE FRANCE,95410 Groslay,06 03 81 56 09,clubmbf@gmail.com,,https://mb-france.mercedes-benz-clubs.com,retrocalage,CLUB MERCEDES-BENZ FRANCE,email: clubmbf@gmail.com
ANCIENNES AUTOMOBILES DU GIER,42152 L,06 45 68 10 04,contactaag@free.fr,,,retrocalage,ANCIENNES AUTOMOBILES DU GIER,email: contactaag@free.fr
JAGUAR VINTAGE XK,88000 Épinal,,contact@jvxk.fr,,https://jvxk.fr,retrocalage,JAGUAR VINTAGE XK,email: contact@jvxk.fr
RANDONNÉE DU SANCY,63750 Messeix,04 73 21 49 42,randonneedusancy@gmail.com,,http://www.acsancyvolcancetres.fr,retrocalage,RANDONNÉE DU SANCY,email: randonneedusancy@gmail.com
CLASSIC SUNBEAM & ROOTES DE FRANCE,84820 Visan,07 68 81 66 27,classicsunbeamrf@gmail.com,,https://classic-sunbeam--rootes-de-france-66.webselfsite.net,retrocalage,CLASSIC SUNBEAM ET ROOTES DE FRANCE,email: classicsunbeamrf@gmail.com
AURGILI RACING CLUB,81220 Saint-Paul-Cap-de-Joux,06 13 77 15 61,aurgili_racing@msn.com,,http://aurgili-racing-austinmin.skyrock.com,retrocalage,AURGILI RACING CLUB,email: aurgili_racing@msn.com
TOURAINE 2 CV CLUB,37420 Manthelan,06 76 59 72 72,touraine2cvclub37@gmail.com,,https://touraine2cvclub.e-monsite.com,retrocalage,TOURAINE 2 CV CLUB,email: touraine2cvclub37@gmail.com
CLUB RÉTROMOBILE DU BERRY,18000 Bourges,,crb@retromobileduberry.com,,http://www.retromobileduberry.com,retrocalage,CLUB RÉTROMOBILE DU BERRY AUTOMOBILE CLUB DU CENTRE,email: crb@retromobileduberry.com
RÉTRO MOBILE CLUB DE CHABRELOCHE,63250 Celles-sur-Durolle,04 73 94 29 53,retromobileclubchabreloche@gmail.com,,,retrocalage,RÉTRO MOBILE CLUB,email: retromobileclubchabreloche@gmail.com
RETRO-BIELLES DU SAULNOIS,57170 Chateau-Salins,03 87 05 14 39,retro-bielles@orange.fr,,http://retrobiellesdusaulnois.over-blog.com,retrocalage,RÉTROBIELLES DU SAULOIS,email: retro-bielles@orange.fr
IDéale DS® LORRAINE,57500 Saint-Avold,06 27 27 56 04,ideale.ds.lorraine@gmail.com,,http://www.ideale-ds-lorraine.fr,retrocalage,IDÉALE DS LORRAINE,tel: 0627275604
ÉCURIE DES SEPT VIRAGES,84410 Bédoin,,ecuriedesseptvirages@yahoo.com,,http://ecuriedesseptvirages.pagesperso-orange.fr,retrocalage,ÉCURIE DES SEPT VIRAGES,email: ecuriedesseptvirages@yahoo.com
TAKO-68,68800 Thann,06 16 96 48 44,tako.68@laposte.net,,http://club-tako-68.e-monsite.com,retrocalage,TAKO 68,email: tako.68@laposte.net
AMERISUD - Section Midi-Pyrénées,31460 Maureville,05 62 18 96 11,bobby.cadillac@wanadoo.fr,,http://www.amerisud.fr,retrocalage,ROCK'&'CARS,email: bobby.cadillac@wanadoo.fr
VIEUX PISTONS DU GATINAIS,45300 Pithiviers,06 75 70 83 22,patrick.damion@wanadoo.fr,,http://club.quomodo.com/vieux_pistons_du_gatinais,retrocalage,LES VIEUX PISTONS DU GTINAIS,tel: 0675708322
LES BIELLES AUTOS DE COLLERET,59460 Jeumont,03 27 60 70 94,gordinialpine59@gmail.com,,http://lesbiellesautos.forumactif.org,retrocalage,LES BIELLES AUTOS DE COLLERET,email: gordinialpine59@gmail.com
ALPINE VENTOUX CLUB,84000 Avignon,06 98 96 96 15,alpine.ventoux@free.fr,,http://alpine.ventoux.free.fr,retrocalage,ALPINE VENTOUX CLUB,tel: 0698969615
CLUB AUTUN RÉTRO,71400 Autun,06 72 23 83 16,clubautunretro@gmail.com,,http://club.autun.retro.over-blog.com,retrocalage,CLUB AUTUN RÉTRO,email: clubautunretro@gmail.com
ASSOCIATION DU PATRIMOINE AUTOMOBILE DE LA CÔTE D'ARGENT,33980 Audenge,06 16 29 72 55,guy.sauques@orange.fr,,http://www.apaca.eu,retrocalage,ASSOCIATION PATRIMOINE AUTOMOBILE CÔTE D'ARGENT - APACA,tel: 0616297255
CLUB VIGNETTE GRATUITE,54840 Velaine-en-Haye,06 71 91 39 22,guepratte.marc@orange.fr,,http://www.cvg.asso.fr,retrocalage,VIGNETTE GRATUITE,tel: 0671913922
LES VIEUX VOLANTS DU GEVAUDAN,48200 Albaret-Sainte-Marie,04 66 31 90 22,lesvieuxvolantsdugevaudan48@orange.fr,,https://www.facebook.com/p/Les-vieux-volants-du-gevaudan-100064671612880/,retrocalage,LES VIEUX VOLANTS DU GÉVAUDAN,tel: 0466319022
4 ROUES SOUS UN PARAPLUIE,21910 Corcelles-lès-Cîteaux,06 83 84 93 90,4rouessousunparapluie@gmail.com,,http://quatreroues.jimdo.com,retrocalage,4 ROUES SOUS UN PARAPLUIE,email: 4rouessousunparapluie@gmail.com
ASSOCIATION CAMBRÉSIENNE DE LA BELLE AUTOMOBILE,59400 Cambrai,07 66 87 19 50,clubacba@gmail.com,,http://www.autos-anciennes-cambresis.com,retrocalage,ASSOCIATION CAMBRÉSIENNE DE LA BELLE AUTOMOBILE - ACBA,email: clubacba@gmail.com
RÉTRO AUTOMOBILE CLUB DES ÉLECTRICIENS ET GAZIERS DE FRANCE,93330 Neuilly-sur-Marne,06 24 10 30 48,michele.junk@yahoo.com,,http://www.rac-egf.fr,retrocalage,RÉTRO AUTOMOBILE CLUB - RAC EGF GAZELRETRO,tel: 0624103048
RÉTRO AUTO CLUB NORMAND,14010 Caen,,clubracn@yahoo.com,,http://www.club-racn.fr,retrocalage,RÉTRO AUTO CLUB NORMAND DE CAEN,email: clubracn@yahoo.com
ASSOCIATION DES SPORTS MÉCANIQUES,04100 Manosque,06 85 63 54 31,asm.manosque@gmail.com,,https://asm-manosque.jimdo.com,retrocalage,ASM VÉHICULES ANCIENS ET DE COLLECTION,email: asm.manosque@gmail.com
2 CV CLUB DE LA SAVE,31530 Montaigut-sur-Save,06 11 33 31 68,club2cvsave@gmail.com,,https://www.facebook.com/pages/2cv-club-de-la-Save/882480078489964,retrocalage,2 CV CLUB DE LA SAVE,email: club2cvsave@gmail.com
NOS BELLES ANCIENNES,34980 Montferrier-sur-Lez,06 61 32 24 18,ulrich.maldes@gmail.com,,http://nosbellesanciennes.fr,retrocalage,ÉCURIE LES TRAPADELLES,tel: 0661322418
VINCENNES EN ANCIENNES,94300 Vincennes,06 33 80 31 91,organisation@vincennesenanciennes.com,,http://www.vincennesenanciennes.com,retrocalage,VINCENNES EN ANCIENNES,email: organisation@vincennesenanciennes.com
OPEL CLASSIC CLUB DE FRANCE,03410 Lignerolles,06 51 39 58 82,info@opel-classic-club.com,,http://www.opel-classic-club.com,retrocalage,OPEL CLASSIC CLUB DE FRANCE,email: info@opel-classic-club.com
LES BELLES A COURPIÈRE,63120 Courpière,06 45 09 21 60,lesbellesacourpiere@hotmail.fr,,http://www.lesbellesacourpiere.fr,retrocalage,SOUPAPES ET PISTONS,tel: 0645092160
CLUB AUTO RÉTRO DE L'OURCQ,60890 Varinfroy,03 44 87 49 00,thierry.macaisne@orange.fr,,http://carovarinfroy.wordpress.com,retrocalage,CLUB C.A.R.O.,email: thierry.macaisne@orange.fr
TOURAINE ALPINE GORDINI,37340 Clère-les-Pins,06 11 40 61 55,cleretag@gmail.com,,http://tourainealpinegordini.jimdo.com,retrocalage,TOURAINE ALPINE GORDINI,email: cleretag@gmail.com
SCUDERIAZZURRA - FERRARI,83520 Roquebrune-sur-Argens,04 94 96 72 53,scuderiazzurra83@gmail.com,,http://www.scuderiazzurra.com,retrocalage,SCUDERIAZZURRA,tel: 0494967253
LES VIEUX PISTONS DE MONTIGNY-LE-BRETONNEUX,78180 Montigny-le-Bretonneux,06 60 05 92 70,les.vieux.pistons@gmx.fr,,,retrocalage,LES VIEUX PISTONS DE MONTIGNY-LE-BRETONNEUX,email: les.vieux.pistons@gmx.fr
COLMAR AUTO RÉTRO,68110 Illzach,06 03 80 79 72,president@colmarautoretro.org,,http://www.colmarautoretro.org,retrocalage,COLMAR AUTO RÉTRO,tel: 0603807972
K-TRELSPEED DU SUD,13012 Marseille,06 99 70 86 42,daniel__b@hotmail.fr,,https://www.facebook.com/KTRELPSEEDDUSUD,retrocalage,UN AMOUR DE 4L,tel: 0699708642
VIEUX VOLANTS VILLENAVAIS,33140 Villenave-d,07 86 23 32 25,vieuxvolantsvillenavais@gmail.com,,http://www.vieuxvolantsvillenavais.com,retrocalage,LES VIEUX VOLANTS VILLENAVAIS,email: vieuxvolantsvillenavais@gmail.com
LES MAMIES ROULANTES,38440 Artas,06 78 45 43 79,christian.bichet@orange.fr,,https://www.facebook.com/clubdevoituresmamiesroulantes,retrocalage,LES MAMIES ROULANTES,email: christian.bichet@orange.fr
LES ANCÊTRES AUTOMOBILES,45430 Checy,06 08 25 46 76,daniel.paty@lesancetresautomobiles.com,,http://www.lesancetresautomobiles.com,retrocalage,LES ANCÊTRES AUTOMOBILES,email: daniel.paty@lesancetresautomobiles.com
NICKEL-CHROME,40150 Soorts-Hossegor,06 09 91 17 70,contact@nickel-chrome40.com,,http://www.nickel-chrome40.com,retrocalage,NICKEL CHROME,tel: 0609911770
CAR ET MOTO ADDICTION,40140 Soustons,05 58 41 22 63,jpbesson40@gmail.com,,https://www.facebook.com/profile.php?id=100057095874684,retrocalage,AUTORETROFOLLIES,email: jpbesson40@gmail.com
ASSOCIATION CENTRE EST DU VÉHICULE ANCIEN,71500 Louhans-Châteaurenaud,06 07 41 60 97,jean-claude.coron@wanadoo.fr,,https://aceva-web.wixsite.com/aceva,retrocalage,ASSOCIATION CENTRE EST DU VÉHICULE ANCIEN - ACEVA,tel: 0607416097
17 RÉTRO PASSION,17400 Les,06 98 96 64 70,Joscia.martin@sfr.fr,,,retrocalage,17 RÉTRO PASSION,email: joscia.martin@sfr.fr
CLUB DES VIEUX VOLANTS DU COMMINGES,31420 Alan,06 30 07 04 77,cvvc-alan@outlook.com,,,retrocalage,CLUB DES VIEUX VOLANTS DU COMMINGES,email: cvvc-alan@outlook.com
LA GUIMBARDE MELUNAISE,77720 La,01 64 08 48 47,leclub@guimbarde-melunaise.com,,http://www.guimbarde-melunaise.com,retrocalage,LA GUIMBARDE MELUNAISE,tel: 0164084847
LES TRIDIONS DÉLURÉS,33290 Ludon-Médoc,06 29 41 34 99,lestridionsdelures@gmail.com,,https://www.facebook.com/lestridionsdelures/,retrocalage,LES TRIDIONS DÉLURÉS,email: lestridionsdelures@gmail.com
AMIS DU MUSÉE DE L'AUTOMOBILE DE VALENCAY,36600 Valençay,06 70 03 05 62,amav@laposte.net,,http://www.musee-auto-valencay.fr,retrocalage,ASSOCIATION DES AMIS DU MUSÉE DE L'AUTOMOBILE DE VALENÇAY - AMAV,tel: 0670030562
LES CHEVALIERS DE L'ARBRE A CAMES,24100 Bergerac,06 31 60 81 11,leschevaliersbergerac@outlook.fr,,,retrocalage,LES CHEVALIERS DE L'ARBRE À CAMES,email: leschevaliersbergerac@outlook.fr
LES VIEILLES SOUPAPES DE CHANTELLE,03140 Chantelle,07 77 37 28 75,mavaldom@sfr.fr,,http://www.vieilles-soupapes-chantelle.fr,retrocalage,LES VIEILLES SOUPAPES DE CHANTELLE,tel: 0777372875
ECURIE BRIGNOLES,83170 Brignoles,04 94 69 03 12,ecuriedebrignoles@yahoo.fr,,http://www.ecuriebrignoles.fr,retrocalage,ÉCURIE DE BRIGNOLES,email: ecuriedebrignoles@yahoo.fr
CLUB MÉCANIQUE DES BORDS DE L'AIN,01160 Varambon,06 63 61 32 29,cmba01@free.fr,,https://www.facebook.com/p/CMBA-01-100064414761393/,retrocalage,CLUB MÉCANIQUE DES BORDS DE L'AIN - CMBA,email: cmba01@free.fr
CLUB GSA DE FRANCE,33380 Mios,06 80 12 64 53,contact@grandessortiesdefrance.fr,,http://clubgsafrance.fr,retrocalage,CLUB GRANDES SORTIES DE FRANCE,email: contact@grandessortiesdefrance.fr
CERCLE T VÉHICULES D'ÉPOQUE,31840 Seilh,05 61 59 90 82,cercle.t@orange.fr,,,retrocalage,CERCLE T,email: cercle.t@orange.fr
BELLES MÉCANIQUES EN BOURBONNAIS,03260 Billy,06 72 80 81 02,belles.mecaniques@yahoo.fr,,https://bellesmecaniques.club,retrocalage,BELLES MÉCANIQUES EN BOURBONNAIS,tel: 0672808102
VIEILLES VOITURES VILLENEUVOISES,47300 Pujols,05 53 40 14 62,les3vieilles@gmail.com,,https://www.facebook.com/LES3V,retrocalage,VIEILLES VOITURES VILLENEUVOISES,email: les3vieilles@gmail.com
A-110 & CIE,70200 Dambenoît-lès-Colombe,06 17 53 09 59,chris.b70@orange.fr,,http://www.a-110etcompagnie.com,retrocalage,A-110 ET CIE,tel: 0617530959
LES RÉTROS-TISEURS,54560 Serrouville,03 82 21 68 39,,,http://www.retro-tiseurs.com,retrocalage,LES RÉTROS-TISEURS,tel: 0382216839
FANS D'ANCIENNES,91310 Linas,07 49 06 54 60,fans.anciennes@gmail.com,,https://www.facebook.com/fans.d.anciennes,retrocalage,FANS D'ANCIENNES,email: fans.anciennes@gmail.com
LES AMIS DE LA VOIE ROYALE PIOLENC ROULE-RÉTRO,84420 Piolenc,06 85 52 32 44,infos.avrp@orange.fr,,,retrocalage,LES AMIS DE LA VOIE ROYALE-PIOLENC ROUTE RÉTRO,email: infos.avrp@orange.fr
LES AMATEURS DE MATHIS,69390 Charly,03 29 57 16 40,michel.tisserand88@gmail.com,,,retrocalage,LES AMATEURS DE MATHIS,email: michel.tisserand88@gmail.com
LES VIEILLES ANGLAISES,54800 Labry,06 89 98 55 25,francis.schang@orange.fr,,,retrocalage,LES VIEILLES ANGLAISES,email: francis.schang@orange.fr
CLUB DES 2 CV DE L'ORLÉANAIS,45000 Orléans,02 38 41 19 96,contact@2cv-club-orleanais.org,,http://2cv-club-orleanais.org,retrocalage,CLUB DES 2 CV DE L'ORLÉANAIS,email: contact@2cv-club-orleanais.org
AUTOMOTORÉTRO45,45270 Nesploy,02 38 90 20 44,claude.jammet@wanadoo.fr,,http://automotoretro45.fr,retrocalage,AUTOMOTORÉTRO 45 - AMR 45,email: claude.jammet@wanadoo.fr
AUTO MOTO JADIS CLUB ORLÉANAIS,45430 Chécy,02 38 86 07 25,jmcfaure0353@orange.fr,,http://www.amjco.fr,retrocalage,A.M.J.C.O.,email: jmcfaure0353@orange.fr
GÉNÉRATION TWINGO,57185 Clouange,06 08 05 50 20,generationtwingo@aol.fr,,http://www.generation-twingo.fr,retrocalage,GÉNÉRATION TWINGO,email: generationtwingo@aol.fr
LES VIEILLES ROUES,84260 Sarrians,06 87 81 31 56,lvr84000@gmail.com,,http://vieillesrouesdemonteux.unblog.fr,retrocalage,LES VIEILLES ROUES,email: lvr84000@gmail.com
ANCIENNES MÉCANIQUES SAINT-EPINOISES,37800 Saint-Épain,06 21 29 44 24,amse37@gmail.com,,,retrocalage,ANCIENNES MÉCANIQUES SAINT-ÉPINOISES - AMSE37,email: amse37@gmail.com
FENEC EVASION,77400 Thorigny-sur-Marne,01 64 02 99 14,patrick.fenec@wanadoo.fr,,http://fenec-evasion.onlc.fr,retrocalage,FENEC ÉVASION,email: patrick.fenec@wanadoo.fr
FAIRLADY Z CLUB FRANCE,77000 Vaux-le-Pénil,01 64 09 56 60,fairladyzclubfrance@gmail.com,,http://fairladyzclubfrance.com,retrocalage,FAIRLADY Z CLUB FRANCE,email: fairladyzclubfrance@gmail.com
GSAVENTURE,79700 Mauléon,06 48 69 11 03,president@gsaventure.com,,http://www.gsaventure.com,retrocalage,GSAVENTURE CLUB GS & GSA CITROËN,tel: 0648691103
VAR ALPINE CLUB,83210 Solliès-Toucas,06 03 57 74 62,mecaracing@hotmail.fr,,http://var-alpine-club.monsite-orange.fr,retrocalage,VAR ALPINE CLUB,email: mecaracing@hotmail.fr
AMICALE DES VÉHICULES ANCIENS LE BOURGET-DU-LAC-BOURDEAU,73230 Barby,06 69 01 87 61,contact@avablb.com,,http://www.avablb.com,retrocalage,AMICALE VÉHICULES ANCIENS LE BOURGET-DU-LAC-BOURDEAU,email: contact@avablb.com
LES VIEILLES MÉCANIQUES DE L'ONDAINE,42530 Saint-Genest-Lerpt,06 80 10 31 49,andre.deux@orange.fr,,http://lesvieillesmecaniquesdelondaine.fr,retrocalage,LES VIEILLES MÉCANIQUES DE L'ONDAINE - VMO,email: andre.deux@orange.fr
ESPRIT CLUB LOTUS,83820 Le,06 11 51 87 60,jps@lotusesprit.net,,http://www.lotusesprit.net,retrocalage,ESPRIT CLUB LOTUS,email: jps@lotusesprit.net
US CARS CLUB NORMANDY,27120 Pacy-sur-Eure,06 18 75 07 88,contact@uscarsclubnormandy.fr,,http://www.uscarsclubnormandy.fr,retrocalage,US CARS CLUB NORMANDY,email: contact@uscarsclubnormandy.fr
ASSOCIATION NIVERNAISE DES AMATEURS DE VÉHICULES ANCIENS,58470 Magny-Cours,06 15 37 21 99,58anava.secretaire@gmail.com,,https://www.58anava.fr,retrocalage,ASSOCIATION NIVERNAISE DES AMATEURS DE VÉHICULES ANCIENS - ANAVA,email: 58anava.secretaire@gmail.com
AMICALE NOSTALGIQUE DES TACOTS DE L'ALSACE DU NORD,67480 Auenheim,03 88 05 29 47,florian.beillard@wanadoo.fr,,http://www.amicale-antan.fr,retrocalage,AMICALE NOSTALGIQUE DES TACOTS DE L'ALSACE DU NORD,email: florian.beillard@wanadoo.fr
AMICALE TARBES AUTO RÉTRO,65430 Soues,06 30 25 97 05,atar65@orange.fr,,,retrocalage,AMICALE TARBES AUTO RÉTRO,email: atar65@orange.fr
